benchmark,metric,budget_percent,plot_budget_percent,raw_mean_error,raw_std_error,normalized_mean,normalized_std,n_seeds,sample_count,sampling
driverml,cd,75.0,75.0,0.01182541629362951,7.548200084863378e-05,1.2441792359904245,0.00794163484946182,3,50,same Uniform random point subset
superwing,field,37.5,37.5,0.04064346906181485,1.9998486737708035e-05,2.3062367453208394,0.0011347762882929044,3,2871,same Uniform random point subset
superwing,field,50.0,50.0,0.033378509561316376,4.175808501305559e-05,1.8940003654036877,0.002369483518369728,3,2871,same Uniform random point subset
superwing,field,75.0,75.0,0.024529782049433624,3.402277553928666e-05,1.3918960665261004,0.0019305580192273642,3,2871,same Uniform random point subset
superwing,cdcl,37.5,37.5,0.010113107566957895,9.244427169123259e-05,1.86986270972493,0.017092480745274318,3,2563,same Uniform random point subset
superwing,cdcl,50.0,50.0,0.008278692288835626,0.00012342446781347423,1.5306885538089439,0.022820563145802955,3,2563,same Uniform random point subset
superwing,cdcl,75.0,75.0,0.00625579838888157,9.339516741815368e-05,1.1566656489589424,0.017268296581191642,3,2563,same Uniform random point subset
airfoil2d,field,100.0,100.0,0.004483591698116042,0.0,0.8709113954060652,0.0,1,112,all points; deterministic full-mesh endpoint
airfoil2d,cdcl,100.0,100.0,0.07953595082322418,0.0,1.0771898661603079,0.0,1,112,all points; deterministic full-mesh endpoint
elasticity,field,100.0,100.0,0.011792326057299723,0.0,1.5349820803136485,0.0,1,200,all points; deterministic full-mesh endpoint
pipe,field,100.0,100.0,0.004315656025476029,0.0,0.8928629150630432,0.0,1,200,all points; deterministic full-mesh endpoint
darcy,field,100.0,100.0,0.00987936935503967,0.0,1.0,0.0,1,200,all points; deterministic full-mesh endpoint
plasticity2d,field,100.0,100.0,0.06399176552595655,0.0,1.294423228837192,0.0,1,80,all points; deterministic full-mesh endpoint
shapenet_car,field,100.0,100.0,0.06247409312815484,0.0,0.996247865423585,0.0,1,100,all points; deterministic full-mesh endpoint
shapenet_car,cd,100.0,100.0,0.012850362395327115,0.0,0.918786760588694,0.0,1,100,all points; deterministic full-mesh endpoint
driverml,pressure,100.0,100.0,0.05987984280439949,0.0,1.0842568406826807,0.0,1,50,all points; deterministic full-mesh endpoint
driverml,cd,100.0,100.0,0.010495472832564053,0.0,1.1042528267873692,0.0,1,50,all points; deterministic full-mesh endpoint
superwing,field,100.0,100.0,0.017161189837440083,0.0,0.9737792444915778,0.0,1,2871,all points; deterministic full-mesh endpoint
superwing,cdcl,100.0,100.0,0.0052282369924716125,0.0,0.9666747164608489,0.0,1,2563,all points; deterministic full-mesh endpoint
