benchmark,metric,method,budget_percent,normalized_mean,normalized_std,fullmesh_mean_error,raw_mean_error,raw_std_error,n_seeds,sample_count,mean_at_or_below_fullmesh
superwing,field,uniform,37.5,2.165506482689734,0.0007610169229722858,0.017623285703116574,0.03816333943639225,1.3411618658447251e-05,3,2871,False
superwing,field,uniform,50.0,1.8006658033338385,0.0002854846317362364,0.017623285703116574,0.03173364790798416,5.031177228936715e-06,3,2871,False
superwing,field,uniform,75.0,1.3660302279518697,0.001270661642964828,0.017623285703116574,0.02407394098628926,2.239323316596067e-05,3,2871,False
superwing,field,pi,37.5,1.517617818981548,0.0023650560193124873,0.017623285703116574,0.02674541241205247,4.1680057932219556e-05,3,2871,False
superwing,field,pi,50.0,1.3343946438562866,0.002273489488825682,0.017623285703116574,0.023516418049387828,4.0066354804607446e-05,3,2871,False
superwing,field,pi,75.0,1.1349016415788025,0.0010077677322866368,0.017623285703116574,0.02000069587447924,1.7760178668469298e-05,3,2871,False
superwing,field,cpg,37.5,1.4669676027735283,0.0017900469356435648,0.017623285703116574,0.025852789180893915,3.154650856883487e-05,3,2871,False
superwing,field,cpg,50.0,1.1276844318972388,0.003989035316089176,0.017623285703116574,0.019873504926281746,7.029990905526147e-05,3,2871,False
superwing,field,cpg,75.0,1.0283679936980519,0.0035994773992437685,0.017623285703116574,0.018123222960881553,6.343461858878393e-05,3,2871,False
superwing,field,ca,37.5,1.584608532594091,0.0026919658414467857,0.017623285703116574,0.027926008897501978,4.744128312684732e-05,3,2871,False
superwing,field,ca,50.0,1.2377436017617225,0.003312837529282959,0.017623285703116574,0.021813109121051378,5.8383082266560405e-05,3,2871,False
superwing,field,ca,75.0,1.0551475716287722,0.004046201309446249,0.017623285703116574,0.018595167113763512,7.130736168869565e-05,3,2871,False
airfoil2d,cdcl,uniform,37.5,58.61774333174827,87.21248422820449,0.01521041503537811,0.8916002045131589,1.3265380813773577,3,110,False
airfoil2d,cdcl,uniform,50.0,3.2751783973455897,1.6987301729447761,0.01521041503537811,0.04981682273853094,0.02583839096360968,3,110,False
airfoil2d,cdcl,uniform,75.0,1.2812248520626695,0.20634355383386235,0.01521041503537811,0.01948796175351412,0.0031385710936879326,3,110,False
airfoil2d,cdcl,pi,37.5,1.3222861690111283,0.5461204359507614,0.01521041503537811,0.020112521426199386,0.00830671849011271,3,110,False
airfoil2d,cdcl,pi,50.0,1.1190514284584316,0.14039459924508016,0.01521041503537811,0.01702123667278548,0.0021354601232432516,3,110,False
airfoil2d,cdcl,pi,75.0,1.0664810786867953,0.12327174653625168,0.01521041503537811,0.016221619834203897,0.001875014426952322,3,110,False
airfoil2d,cdcl,cpg,37.5,1.223302974629503,0.19954103066727463,0.01521041503537811,0.01860694595812736,0.0030351018930363585,3,110,False
airfoil2d,cdcl,cpg,50.0,1.2666574722038044,0.06236529390970602,0.01521041503537811,0.019266385859882777,0.0009486020041699673,3,110,False
airfoil2d,cdcl,cpg,75.0,1.0774575344694919,0.04079222863406416,0.01521041503537811,0.016388576282276187,0.000620466727742151,3,110,False
airfoil2d,cdcl,ca,37.5,1.6031259489466982,0.39158623723240715,0.01521041503537811,0.02438421103746366,0.005956189190446945,3,110,False
airfoil2d,cdcl,ca,50.0,1.1552465417254656,0.26442258020268006,0.01521041503537811,0.017571779367829585,0.004021977189608319,3,110,False
airfoil2d,cdcl,ca,75.0,1.184117495512128,0.14696523545322338,0.01521041503537811,0.018010918557391946,0.002235402227015593,3,110,False
shapenet_car,cd,uniform,37.5,2.115567514956793,0.011336660660711937,0.013986229391348115,0.029588812557069993,0.00015855713653258922,3,100,False
shapenet_car,cd,uniform,50.0,1.6336356262052754,0.04622510637844948,0.013986229391348115,0.022848402609985604,0.0006465149414484634,3,100,False
shapenet_car,cd,uniform,75.0,1.1273562307513172,0.07676692630889455,0.013986229391348115,0.0157674628490535,0.0010736798410249159,3,100,False
shapenet_car,cd,pi,37.5,1.0282125787462644,0.03175787330648063,0.013986229391348115,0.014380816989414841,0.00044417290104580915,3,100,False
shapenet_car,cd,pi,50.0,0.9759960441148238,0.000989363208211434,0.013986229391348115,0.01365050455803824,1.3837460781405224e-05,3,100,True
shapenet_car,cd,pi,75.0,1.0631154937753813,0.0063771989665354955,0.013986229391348115,0.0148689771654388,8.919296762023357e-05,3,100,False
shapenet_car,cd,cpg,37.5,1.013882963078109,0.004099578143757658,0.013986229391348115,0.014180399697590164,5.7337640326351706e-05,3,100,False
shapenet_car,cd,cpg,50.0,1.004791156511116,0.0026696557109104958,0.013986229391348115,0.014053239605362434,3.733841716871672e-05,3,100,False
shapenet_car,cd,cpg,75.0,0.9870184488486086,0.0020596375737610183,0.013986229391348115,0.013804666439089236,2.8806563569661277e-05,3,100,True
shapenet_car,cd,ca,37.5,1.015456274033154,0.003181531024830375,0.013986229391348115,0.014202404385511345,4.449762272896848e-05,3,100,False
shapenet_car,cd,ca,50.0,1.0060348754386697,0.0018804124412094502,0.013986229391348115,0.01407063454358156,2.629987975310027e-05,3,100,False
shapenet_car,cd,ca,75.0,0.9863505896079634,0.002299633081764043,0.013986229391348115,0.01379532560654844,3.21631957974847e-05,3,100,True
driverml,cd,uniform,37.5,1.1140003176049638,0.009823626655802555,0.009504592225585511,0.01058811875800793,9.336956553979556e-05,3,50,False
driverml,cd,uniform,50.0,1.0972706073914211,0.003581848674084055,0.009504592225585511,0.010429109684375994,3.404401106092308e-05,3,50,False
driverml,cd,uniform,75.0,1.0508446526908561,0.0020407188410116357,0.009504592225585511,0.009987849916263617,1.939620043088507e-05,3,50,False
driverml,cd,pi,37.5,1.0094300141019183,0.0006821281249295445,0.009504592225585511,0.009594220664305765,6.483349673058571e-06,3,50,False
driverml,cd,pi,50.0,1.003344687206852,0.0010266099552273438,0.009504592225585511,0.009536382113608773,9.757508999162502e-06,3,50,False
driverml,cd,pi,75.0,0.9985082610508659,0.0005804083946653301,0.009504592225585511,0.009490413855166968,5.516545115600663e-06,3,50,True
driverml,cd,cpg,37.5,0.9975668725066718,0.0026430119624263073,0.009504592225585511,0.009481466340928566,2.5120750950206587e-05,3,50,True
driverml,cd,cpg,50.0,0.9991799149009262,0.0010951043272403155,0.009504592225585511,0.009496797651128536,1.0408520074893356e-05,3,50,True
driverml,cd,cpg,75.0,0.9989173406966473,0.00033865296798508857,0.009504592225585511,0.009494301990387907,3.218758366682532e-06,3,50,True
driverml,cd,ca,37.5,1.0067155430080919,0.0018976007243871522,0.009504592225585511,0.009568420723450806,1.803592109227556e-05,3,50,False
driverml,cd,ca,50.0,1.003324937464975,0.0011535035765232187,0.009504592225585511,0.00953619440036567,1.0963581125607667e-05,3,50,False
driverml,cd,ca,75.0,0.9993641079307373,0.00017448216734772002,0.009504592225585511,0.009498548330767685,1.65838185127645e-06,3,50,True
superwing,cdcl,uniform,37.5,1.5517511672171234,0.01344895235752889,0.005408475988296277,0.008392608927704532,7.27383358934356e-05,3,2563,False
superwing,cdcl,uniform,50.0,1.3050369227617535,0.01095445133310342,0.005408475988296277,0.007058260860597007,5.924688700004999e-05,3,2563,False
superwing,cdcl,uniform,75.0,1.0596401506542492,0.006518809836619065,0.005408475988296277,0.005731038311048156,3.525682647362379e-05,3,2563,False
superwing,cdcl,pi,37.5,1.109389849685701,0.01487235193793562,0.005408475988296277,0.0060001083636847296,8.04367583458164e-05,3,2563,False
superwing,cdcl,pi,50.0,1.0453113403151704,0.004738158106392947,0.005408475988296277,0.005653541284388396,2.5626214347177606e-05,3,2563,False
superwing,cdcl,pi,75.0,1.004874879804769,0.0020871158118386103,0.005408475988296277,0.005434841658666201,1.1288115753122613e-05,3,2563,False
superwing,cdcl,cpg,37.5,1.0469184474932791,0.004468093578533478,0.005408475988296277,0.005662233284971816,2.41655768329591e-05,3,2563,False
superwing,cdcl,cpg,50.0,1.0129555161636963,0.005301992995121858,0.005408475988296277,0.005478545586383612,2.8675701804231627e-05,3,2563,False
superwing,cdcl,cpg,75.0,1.0012510671267765,0.0005993571093777391,0.005408475988296277,0.005415242354811194,3.241608534484167e-06,3,2563,False
superwing,cdcl,ca,37.5,1.1070528544165614,0.002774190057158375,0.005408475988296277,0.005987468780886826,1.5004140311111346e-05,3,2563,False
superwing,cdcl,ca,50.0,1.0291162729513934,0.0031375841930278187,0.005408475988296277,0.005565950651422569,1.6969548769248908e-05,3,2563,False
superwing,cdcl,ca,75.0,1.0006536052869035,0.001557743597732987,0.005408475988296277,0.0054120109967963174,8.425018844261114e-06,3,2563,False
