method,sample_id,seed,budget_fraction,selected_count,pressure_field_relative_l2
cpg,1919,7,0.5,5636,0.005279944164678934
cpg,1919,7,0.75,8453,0.0034788960099623656
cpg,1919,8,0.375,4227,0.007879296227003762
cpg,1919,8,0.5,5636,0.0048043058137642956
cpg,1919,8,0.75,8453,0.003551170776636735
cpg,1684,6,0.375,4227,0.006942290128528669
cpg,1684,6,0.5,5636,0.006759194331616086
cpg,1684,6,0.75,8453,0.006157273690055004
cpg,1684,7,0.375,4227,0.005927109759514356
cpg,1684,7,0.5,5636,0.0059047970279591955
cpg,1684,7,0.75,8453,0.006240212963041996
cpg,1684,8,0.375,4227,0.005988466090057948
cpg,1684,8,0.5,5636,0.005640552947814
cpg,1684,8,0.75,8453,0.006328807938229784
cpg,1581,6,0.375,4227,0.0032061533357706186
cpg,1581,6,0.5,5636,0.003154225183088564
cpg,1581,6,0.75,8453,0.00252514375369117
cpg,1581,7,0.375,4227,0.004569247904292085
cpg,1581,7,0.5,5636,0.0029889093908258817
cpg,1581,7,0.75,8453,0.002381150692814592
cpg,1581,8,0.375,4227,0.004613200812634288
cpg,1581,8,0.5,5636,0.003223960227586334
cpg,1581,8,0.75,8453,0.002466053947731376
cpg,2425,6,0.375,4227,0.009415524166786675
cpg,2425,6,0.5,5636,0.007052857010215201
cpg,2425,6,0.75,8453,0.007378116351547127
cpg,2425,7,0.375,4227,0.009718728592213179
cpg,2425,7,0.5,5636,0.009036777947785535
cpg,2425,7,0.75,8453,0.00702667810508758
cpg,2425,8,0.375,4227,0.00864817929710992
cpg,2425,8,0.5,5636,0.007468359671967667
cpg,2425,8,0.75,8453,0.006888617629465865
cpg,2265,6,0.375,4227,0.0038417278235370576
cpg,2265,6,0.5,5636,0.0028134089411375905
cpg,2265,6,0.75,8453,0.0026677662188252472
cpg,2265,7,0.375,4227,0.003725194975143088
cpg,2265,7,0.5,5636,0.0029178435773587947
cpg,2265,7,0.75,8453,0.0026310531272515673
cpg,2265,8,0.375,4227,0.0033047030148897288
cpg,2265,8,0.5,5636,0.0028172120327227376
cpg,2265,8,0.75,8453,0.002645147425976559
cpg,1661,6,0.375,4227,0.010955782455623132
cpg,1661,6,0.5,5636,0.010527424119325987
cpg,1661,6,0.75,8453,0.010535001063904984
cpg,1661,7,0.375,4227,0.011403182440976196
cpg,1661,7,0.5,5636,0.010953095726393363
cpg,1661,7,0.75,8453,0.010331438208509621
cpg,1661,8,0.375,4227,0.009768079867178394
cpg,1661,8,0.5,5636,0.010518648224470581
cpg,1661,8,0.75,8453,0.01014000519246823
cpg,2031,6,0.375,4227,0.002976190197011796
cpg,2031,6,0.5,5636,0.002546262919932346
cpg,2031,6,0.75,8453,0.00273952752964889
cpg,2031,7,0.375,4227,0.003538653073002657
cpg,2031,7,0.5,5636,0.0031227849619034622
cpg,2031,7,0.75,8453,0.0031434441147621273
cpg,2031,8,0.375,4227,0.002361041783046381
cpg,2031,8,0.5,5636,0.0019533887230958214
cpg,2031,8,0.75,8453,0.002982706638273659
pi,1640,6,0.375,4227,0.011996187043753395
pi,1640,6,0.5,5636,0.010095676223353368
pi,1640,6,0.75,8453,0.007922573127984372
pi,1640,7,0.375,4227,0.010408641833909646
pi,1640,7,0.5,5636,0.011320114705386585
pi,1640,7,0.75,8453,0.008194998936782053
pi,1640,8,0.375,4227,0.011049075179367866
pi,1640,8,0.5,5636,0.009435498249237988
pi,1640,8,0.75,8453,0.007646765719828674
pi,2067,6,0.375,4227,0.006118672187842855
pi,2067,6,0.5,5636,0.004740736883295903
pi,2067,6,0.75,8453,0.0035913486335107337
pi,2067,7,0.375,4227,0.004348084289872135
pi,2067,7,0.5,5636,0.003533505098073604
pi,2067,7,0.75,8453,0.0034419113828675343
pi,2067,8,0.375,4227,0.005671020995392382
pi,2067,8,0.5,5636,0.0033918135766915457
pi,2067,8,0.75,8453,0.003222011911111786
pi,1845,6,0.375,4227,0.011160151628179597
pi,1845,6,0.5,5636,0.009609468877151982
pi,1845,6,0.75,8453,0.010558352879856379
pi,1845,7,0.375,4227,0.011159707714186963
pi,1845,7,0.5,5636,0.010199430181819503
pi,1845,7,0.75,8453,0.010106366975286546
pi,1845,8,0.375,4227,0.011579635994730195
pi,1845,8,0.5,5636,0.010620591152232973
pi,1845,8,0.75,8453,0.010346231147401134
pi,1426,6,0.375,4227,0.007449129467446638
pi,1426,6,0.5,5636,0.0067704230592435305
pi,1426,6,0.75,8453,0.005825136713331951
pi,1426,7,0.375,4227,0.0068065343110910404
pi,1426,7,0.5,5636,0.005055672254416399
pi,1426,7,0.75,8453,0.006360309992562292
pi,1426,8,0.375,4227,0.0076415144522564826
pi,1426,8,0.5,5636,0.005972273986574007
pi,1426,8,0.75,8453,0.006118720511141913
pi,1756,6,0.375,4227,0.006124840109557228
pi,1756,6,0.5,5636,0.004352328078738444
pi,1756,6,0.75,8453,0.002898367062232819
pi,1756,7,0.375,4227,0.0064566163820330745
pi,1756,7,0.5,5636,0.004625399726641781
pi,1756,7,0.75,8453,0.0029408463127100215
pi,1756,8,0.375,4227,0.00642802882164624
pi,1756,8,0.5,5636,0.004171871541413518
pi,1756,8,0.75,8453,0.0030789687077958706
pi,1919,6,0.375,4227,0.007348761448794446
pi,1919,6,0.5,5636,0.0050977945615168045
pi,1919,6,0.75,8453,0.003732785283145254
pi,1919,7,0.375,4227,0.008251443784214421
pi,1919,7,0.5,5636,0.005413992649644997
pi,1919,7,0.75,8453,0.003548259247731658
pi,1919,8,0.375,4227,0.004785115848979859
pi,1919,8,0.5,5636,0.005189118375166379
pi,1919,8,0.75,8453,0.003460979811170795
pi,1684,6,0.375,4227,0.005451268380235786
pi,1684,6,0.5,5636,0.006346664876713977
pi,1684,6,0.75,8453,0.006419981601870265
pi,1684,7,0.375,4227,0.006588161736122182
pi,1684,7,0.5,5636,0.005768252773841772
pi,1684,7,0.75,8453,0.006399196118414424
pi,1684,8,0.375,4227,0.007201120180325552
pi,1684,8,0.5,5636,0.006315796913551081
pi,1684,8,0.75,8453,0.006441696005275467
pi,1581,6,0.375,4227,0.0045496398875226355
pi,1581,6,0.5,5636,0.0034039159049255416
pi,1581,6,0.75,8453,0.0025417677285199127
pi,1581,7,0.375,4227,0.005772074395667713
pi,1581,7,0.5,5636,0.0034335875422629412
pi,1581,7,0.75,8453,0.0026049332469138898
pi,1581,8,0.375,4227,0.004796492570426123
pi,1581,8,0.5,5636,0.0032848209757536605
pi,1581,8,0.75,8453,0.0024587652158915238
pi,2425,6,0.375,4227,0.010571243804773707
pi,2425,6,0.5,5636,0.008872942248463175
pi,2425,6,0.75,8453,0.006947543179929598
pi,2425,7,0.375,4227,0.009820291144259403
pi,2425,7,0.5,5636,0.008885158353466333
pi,2425,7,0.75,8453,0.007226792468380815
pi,2425,8,0.375,4227,0.00886756724610569
pi,2425,8,0.5,5636,0.008634750753784224
pi,2425,8,0.75,8453,0.007344722507664285
pi,2265,6,0.375,4227,0.004035071727349035
pi,2265,6,0.5,5636,0.0029752278184536473
pi,2265,6,0.75,8453,0.0026463250177463597
pi,2265,7,0.375,4227,0.0031512004711795535
pi,2265,7,0.5,5636,0.002816896677110913
