sample_id,true_cl,pressure_field_relative_l2,ratio_abs_error
1146,0.5408688230025023,0.0055812291424949525,1.7752269902138185e-05
1147,0.17771361909373806,0.0022925867305885962,0.008483969339073472
1148,0.5653557841800074,0.004979006181384781,0.0008263458230354931
1150,0.4094894151129768,0.00884107551268038,0.0035956767364975495
1153,0.5532245804448421,0.0048837429384592625,0.0016601904615015095
1159,0.4892419072794998,0.004350510559729445,0.003771417105967678
1160,0.7766401650713644,0.008635221559240534,0.0012320414068625607
1162,0.1768834292169342,0.004181706702458879,0.0037768100328288423
1163,0.3222083915643177,0.005794455792868949,0.0059763594314248825
1164,0.49463021312643574,0.003721432487899087,0.0027957438758416386
1166,0.04075154768946337,0.001598672991439079,0.03103514208114022
1167,0.04529890400174856,0.01034409529327592,0.19164171734310342
1169,0.6946191555361405,0.015531047874672514,0.0035647130912374037
1170,0.23851340072490856,0.0038513161169304263,0.005234918919925127
1171,0.3410937540761661,0.0016898832326901637,0.00182605095970087
1172,0.04801092301129431,0.004406079151649457,0.006750606407025461
1173,0.15289078210269222,0.0038217273661869593,0.011419758362774202
1174,0.10787138401482102,0.0017265094143421725,0.019080046463462397
1175,0.12148192018412735,0.005019677315425829,0.013763675606385306
1176,0.6530402632311499,0.0026461632872361454,0.002065223228670768
1177,0.47341551874714805,0.002768372779368655,0.0015545531265045986
1179,0.23542556965857853,0.0028132447162262644,0.002226746247341496
1180,0.3320071528949275,0.0028822454064470334,0.002887046968953144
1181,0.7621730716194343,0.003029881834746783,0.0007445397283599164
1182,0.6595226005420664,0.003296645250632459,0.002610218332199432
1186,0.48693099643875815,0.0023484378115414557,0.0034989199840764207
1187,0.6875613444986286,0.006933853458777979,0.0016570029576060408
1188,0.1439919244201592,0.0023161878488757908,0.014864315787720572
1190,0.6457485886470354,0.009875607426797986,0.004313937244951188
1193,0.3082943255532519,0.002301850997399528,0.0032158915017533873
1197,0.48583746571123704,0.003187357085154227,0.002080299363402288
1198,0.02441287757347149,0.006166953186596445,0.39176516687813545
