benchmark,budget,method,mode,metric,cases,mean,case_std
plasticity2d,0.5,cpg,previous_runtime,relative_l2,9,0.03433758974667845,0.008264830028457652
plasticity2d,0.5,ca,original,relative_l2,9,0.0336861877509961,0.007844916912009847
plasticity2d,0.5,ca,fast,relative_l2,9,0.03371490928234819,0.007857684564357575
plasticity2d,0.5,ca,previous_runtime,relative_l2,9,0.03396851573881667,0.007915536907505932
plasticity2d,0.75,uniform,original,relative_l2,9,0.03522195652588026,0.007591600372589055
plasticity2d,0.75,uniform,fast,relative_l2,9,0.03513232026506338,0.007737725905933486
plasticity2d,0.75,uniform,previous_runtime,relative_l2,9,0.03522195652588026,0.007591600372589055
plasticity2d,0.75,pi,original,relative_l2,9,0.03396037430543187,0.008022795623250159
plasticity2d,0.75,pi,fast,relative_l2,9,0.033939716525188415,0.00802340649239975
plasticity2d,0.75,pi,previous_runtime,relative_l2,9,0.03396037430543187,0.008022795623250159
plasticity2d,0.75,cpg,original,relative_l2,9,0.033988704518408436,0.007838110738214565
plasticity2d,0.75,cpg,fast,relative_l2,9,0.03408496919423357,0.007826653887082546
plasticity2d,0.75,cpg,previous_runtime,relative_l2,9,0.033903111419572696,0.007690976712935138
plasticity2d,0.75,ca,original,relative_l2,9,0.033839368012825784,0.008083870933723454
plasticity2d,0.75,ca,fast,relative_l2,9,0.033836162275408546,0.008077788774468247
plasticity2d,0.75,ca,previous_runtime,relative_l2,9,0.03388703593562347,0.007691874204667721
plasticity2d,1.0,full,original,relative_l2,3,0.03398706826070944,0.008602628836853081
plasticity2d,1.0,full,fast,relative_l2,3,0.03398706826070944,0.008602628836853081
plasticity2d,1.0,full,previous_runtime,relative_l2,3,0.03398706826070944,0.008602628836853081
airfoil2d,0.375,uniform,original,relative_l2,9,0.012334825556142452,0.0023215457451463985
airfoil2d,0.375,uniform,fast,relative_l2,9,0.012632482899045859,0.0024185055469040243
airfoil2d,0.375,uniform,previous_runtime,relative_l2,9,0.012334825556142452,0.0023215457451463985
airfoil2d,0.375,pi,original,relative_l2,9,0.00809015692005793,0.002415496368963567
airfoil2d,0.375,pi,fast,relative_l2,9,0.008087637084108874,0.0022835856872077975
airfoil2d,0.375,pi,previous_runtime,relative_l2,9,0.00809015692005793,0.002415496368963567
airfoil2d,0.375,cpg,original,relative_l2,9,0.0070215364105112605,0.0017583624555083735
airfoil2d,0.375,cpg,fast,relative_l2,9,0.00709433758836492,0.0017665450827237404
airfoil2d,0.375,cpg,previous_runtime,relative_l2,9,0.0070270816785121225,0.00169915540722165
airfoil2d,0.375,ca,original,relative_l2,9,0.007580849541389909,0.001859642180841069
airfoil2d,0.375,ca,fast,relative_l2,9,0.00762462941346178,0.0018622052005369493
airfoil2d,0.375,ca,previous_runtime,relative_l2,9,0.007494594341625838,0.0020390868587817777
airfoil2d,0.5,uniform,original,relative_l2,9,0.010289460574775996,0.0018403967411750987
airfoil2d,0.5,uniform,fast,relative_l2,9,0.01066550810971797,0.0018765899545170283
airfoil2d,0.5,uniform,previous_runtime,relative_l2,9,0.010289460574775996,0.0018403967411750987
airfoil2d,0.5,pi,original,relative_l2,9,0.006894749634911734,0.0019426143030705646
airfoil2d,0.5,pi,fast,relative_l2,9,0.006886326014365664,0.0019287675892981691
airfoil2d,0.5,pi,previous_runtime,relative_l2,9,0.006894749634911734,0.0019426143030705646
airfoil2d,0.5,cpg,original,relative_l2,9,0.006022310678906566,0.001863142712110416
airfoil2d,0.5,cpg,fast,relative_l2,9,0.006038157601957201,0.001860271589903682
airfoil2d,0.5,cpg,previous_runtime,relative_l2,9,0.006111862635577994,0.0017498527678555418
airfoil2d,0.5,ca,original,relative_l2,9,0.0064779693028665635,0.001680191911383777
airfoil2d,0.5,ca,fast,relative_l2,9,0.006499810858989372,0.0016771060467661559
airfoil2d,0.5,ca,previous_runtime,relative_l2,9,0.006584504471789554,0.0016648891164351546
airfoil2d,0.75,uniform,original,relative_l2,9,0.007448408581871392,0.0016041856551882493
airfoil2d,0.75,uniform,fast,relative_l2,9,0.007516575873097879,0.0015927435012763253
airfoil2d,0.75,uniform,previous_runtime,relative_l2,9,0.007448408581871392,0.0016041856551882493
airfoil2d,0.75,pi,original,relative_l2,9,0.005515198640383497,0.0016282284368266838
airfoil2d,0.75,pi,fast,relative_l2,9,0.005544407101636094,0.0016528398708467007
airfoil2d,0.75,pi,previous_runtime,relative_l2,9,0.005515198640383497,0.0016282284368266838
airfoil2d,0.75,cpg,original,relative_l2,9,0.005499437122049716,0.0016985698002278972
airfoil2d,0.75,cpg,fast,relative_l2,9,0.005499108136139696,0.0016984702585344951
airfoil2d,0.75,cpg,previous_runtime,relative_l2,9,0.005549618760102806,0.0016363483755522973
airfoil2d,0.75,ca,original,relative_l2,9,0.00558151394460931,0.0016310619361555967
airfoil2d,0.75,ca,fast,relative_l2,9,0.005583083319543555,0.0016310042730193401
airfoil2d,0.75,ca,previous_runtime,relative_l2,9,0.005528769283384673,0.0015566371868203576
airfoil2d,1.0,full,original,relative_l2,3,0.005305788790186246,0.001984329692028153
airfoil2d,1.0,full,fast,relative_l2,3,0.005305788790186246,0.001984329692028153
airfoil2d,1.0,full,previous_runtime,relative_l2,3,0.005305788790186246,0.001984329692028153
shapenet_car,0.375,uniform,original,velocity_rel_l2,9,0.0819144936541364,0.0031105207839079224
shapenet_car,0.375,uniform,original,pressure_rel_l2,9,0.19919689837798404,0.03388050311068072
shapenet_car,0.375,uniform,original,field_error,9,0.18151294284312838,0.015921321876938826
shapenet_car,0.375,uniform,fast,velocity_rel_l2,9,0.0819144936541364,0.0031105207839079224
shapenet_car,0.375,uniform,fast,pressure_rel_l2,9,0.19919689837798404,0.03388050311068072
shapenet_car,0.375,uniform,fast,field_error,9,0.18151294284312838,0.015921321876938826
shapenet_car,0.375,uniform,previous_runtime,velocity_rel_l2,9,0.0819144936541364,0.0031105207839079224
shapenet_car,0.375,uniform,previous_runtime,pressure_rel_l2,9,0.19919689837798404,0.03388050311068072
shapenet_car,0.375,uniform,previous_runtime,field_error,9,0.18151294284312838,0.015921321876938826
shapenet_car,0.375,pi,original,velocity_rel_l2,9,0.06362722802235046,0.004018937371007528
shapenet_car,0.375,pi,original,pressure_rel_l2,9,0.06957340938728623,0.013250145593758332
shapenet_car,0.375,pi,original,field_error,9,0.09841393271599358,0.00805471272662365
shapenet_car,0.375,pi,fast,velocity_rel_l2,9,0.06362722802235046,0.004018937371007528
shapenet_car,0.375,pi,fast,pressure_rel_l2,9,0.06957340938728623,0.013250145593758332
shapenet_car,0.375,pi,fast,field_error,9,0.09841393271599358,0.00805471272662365
shapenet_car,0.375,pi,previous_runtime,velocity_rel_l2,9,0.06362722802235046,0.004018937371007528
shapenet_car,0.375,pi,previous_runtime,pressure_rel_l2,9,0.06957340938728623,0.013250145593758332
shapenet_car,0.375,pi,previous_runtime,field_error,9,0.09841393271599358,0.00805471272662365
shapenet_car,0.375,cpg,original,velocity_rel_l2,9,0.05045334413512613,0.0009377055913824578
shapenet_car,0.375,cpg,original,pressure_rel_l2,9,0.07164913302497679,0.02014850457404689
shapenet_car,0.375,cpg,original,field_error,9,0.08627791064761453,0.010235359108161136
shapenet_car,0.375,cpg,fast,velocity_rel_l2,9,0.05045334413512613,0.0009377055913824578
shapenet_car,0.375,cpg,fast,pressure_rel_l2,9,0.07164913302497679,0.02014850457404689
shapenet_car,0.375,cpg,fast,field_error,9,0.08627791064761453,0.010235359108161136
shapenet_car,0.375,cpg,previous_runtime,velocity_rel_l2,9,0.052485400630010066,0.0011590613155792867
shapenet_car,0.375,cpg,previous_runtime,pressure_rel_l2,9,0.07305574043884985,0.020635084155637543
shapenet_car,0.375,cpg,previous_runtime,field_error,9,0.08901327084943499,0.010484677679738359
shapenet_car,0.375,ca,original,velocity_rel_l2,9,0.05031980799085059,0.0009484171629624746
shapenet_car,0.375,ca,original,pressure_rel_l2,9,0.07174026026483189,0.0201195901661146
shapenet_car,0.375,ca,original,field_error,9,0.08618993812326653,0.010263612659682191
shapenet_car,0.375,ca,fast,velocity_rel_l2,9,0.05031980799085059,0.0009484171629624746
shapenet_car,0.375,ca,fast,pressure_rel_l2,9,0.07174026026483189,0.0201195901661146
shapenet_car,0.375,ca,fast,field_error,9,0.08618993812326653,0.010263612659682191
shapenet_car,0.375,ca,previous_runtime,velocity_rel_l2,9,0.05231013108703504,0.0012789053490094302
shapenet_car,0.375,ca,previous_runtime,pressure_rel_l2,9,0.07287844784079259,0.0205945705411036
shapenet_car,0.375,ca,previous_runtime,field_error,9,0.08874935500743134,0.01057729786205653
shapenet_car,0.5,uniform,original,velocity_rel_l2,9,0.06758524907023555,0.00396159789184825
shapenet_car,0.5,uniform,original,pressure_rel_l2,9,0.17548877608058439,0.023453675645232947
shapenet_car,0.5,uniform,original,field_error,9,0.15532963711052775,0.009429608627371185
shapenet_car,0.5,uniform,fast,velocity_rel_l2,9,0.06758524907023555,0.00396159789184825
shapenet_car,0.5,uniform,fast,pressure_rel_l2,9,0.17548877608058439,0.023453675645232947
shapenet_car,0.5,uniform,fast,field_error,9,0.15532963711052775,0.009429608627371185
shapenet_car,0.5,uniform,previous_runtime,velocity_rel_l2,9,0.06758524907023555,0.00396159789184825
shapenet_car,0.5,uniform,previous_runtime,pressure_rel_l2,9,0.17548877608058439,0.023453675645232947
shapenet_car,0.5,uniform,previous_runtime,field_error,9,0.15532963711052775,0.009429608627371185
shapenet_car,0.5,pi,original,velocity_rel_l2,9,0.043455805840271165,0.0028067716633886613
shapenet_car,0.5,pi,original,pressure_rel_l2,9,0.07113563172647903,0.013281549446971774
