benchmark,budget,method,stage,cases,mean_ms,case_std_ms,repeat_std_ms,repeats_per_case_min,repeats_per_case_max
pipe,0.75,pi,decode_ms,9,0.03443045748604669,0.006927085442036927,0.015132212404335816,5,5
pipe,0.75,pi,sampled_export_ms,9,0.03489189677768283,0.0034468233225899395,0.0056935662363424505,5,5
pipe,0.75,pi,reconstruction_original_ms,9,0.07552454868952434,0.0014436841429394643,0.002742333598806578,5,5
pipe,0.75,pi,full_export_original_ms,9,0.03754827711317274,0.0016001043852021165,0.004325454584223027,5,5
pipe,0.75,pi,reconstruction_fast_ms,9,0.046324729919433594,0.0010809028501791713,0.002530937237416228,5,5
pipe,0.75,pi,full_export_fast_ms,9,0.03657788038253784,0.0011599977356606297,0.002371297280061113,5,5
pipe,0.75,cpg,coarse_ms,9,1.475077039665646,0.0010666010610585772,0.003334548666335014,5,5
pipe,0.75,cpg,density_sampling_compensation_ms,9,0.24373531341552734,0.002339621942333224,0.004381325729480523,5,5
pipe,0.75,cpg,fine_ms,9,5.991772976186541,0.0018736778950471504,0.006058325230055797,5,5
pipe,0.75,cpg,decode_ms,9,0.03201779392030504,0.003365205873387753,0.0038931623292350424,5,5
pipe,0.75,cpg,sampled_export_ms,9,0.06016227934095594,0.0027749997024972017,0.005474740215794526,5,5
pipe,0.75,cpg,reconstruction_original_ms,9,139.08408764335843,2.5838124129204116,1.5078678673987203,5,5
pipe,0.75,cpg,full_export_original_ms,9,0.0,0.0,0.0,5,5
pipe,0.75,cpg,reconstruction_fast_ms,9,1.0820650392108493,0.010633929818658527,0.017865630852792823,5,5
pipe,0.75,cpg,full_export_fast_ms,9,0.07979306909773085,0.005668080484902242,0.004946768585443391,5,5
pipe,0.75,ca,coarse_ms,9,0.5998788608445061,0.0030591423827487875,0.006768606005910616,5,5
pipe,0.75,ca,density_sampling_compensation_ms,9,0.18588039610120985,0.0027689951004972336,0.005490431819193565,5,5
pipe,0.75,ca,fine_ms,9,6.002741389804417,0.008782445131387482,0.017322085727845493,5,5
pipe,0.75,ca,decode_ms,9,0.031211144394344754,0.0031498855559622756,0.003933251203837194,5,5
pipe,0.75,ca,sampled_export_ms,9,0.06616728173361884,0.0043776117209735925,0.0051948654583632995,5,5
pipe,0.75,ca,reconstruction_original_ms,9,138.1105022297965,1.8911067639187844,1.526984706061114,5,5
pipe,0.75,ca,full_export_original_ms,9,0.0,0.0,0.0,5,5
pipe,0.75,ca,reconstruction_fast_ms,9,1.1304290758238897,0.14510971629376845,0.022042689173370156,5,5
pipe,0.75,ca,full_export_fast_ms,9,0.07817380958133274,0.004461241184335329,0.006914152442624745,5,5
pipe,1.0,full,coarse_ms,3,0.0,0.0,0.0,5,5
