benchmark,budget,method,component,n,mean_ms,case_std_ms
elasticity,0.375,uniform,reported_shared_input_preparation_ms,9,44.998347759246826,3.1378113631957576
elasticity,0.375,uniform,gpu_runtime_and_reconstruction_preparation_ms,9,0.18811888164944118,0.01063472868677541
elasticity,0.375,uniform,first_sampled_call_ms,9,21.91918260521359,0.8247660171111373
elasticity,0.375,uniform,graph_setup_ms,9,23.954445289240944,0.8343743909485819
elasticity,0.375,uniform,first_full_original_after_sampled_ms,9,1.7992481589317322,0.022105114878721036
elasticity,0.375,uniform,first_full_fast_after_sampled_ms,9,1.7376003993882074,0.019812420092885273
elasticity,0.375,pi,adapter_increment_ms,9,0.025317072868347168,0.0009655978323650143
elasticity,0.375,pi,case_preparation_ms,9,7.039489017592536,0.21258954644881758
elasticity,0.375,pi,reported_shared_input_preparation_ms,9,48.37969359424379,2.993913547044255
elasticity,0.375,pi,gpu_runtime_and_reconstruction_preparation_ms,9,0.1751192741923862,0.006601362035984033
elasticity,0.375,pi,first_sampled_call_ms,9,21.46409617529975,0.47786205830959666
elasticity,0.375,pi,graph_setup_ms,9,23.53396432267295,0.509910848054288
elasticity,0.375,pi,first_full_original_after_sampled_ms,9,1.8232208159234788,0.0406809002899069
elasticity,0.375,pi,first_full_fast_after_sampled_ms,9,1.7590547601381938,0.027367871229062417
elasticity,0.375,cpg,adapter_increment_ms,9,11.477625204457176,15.645228527658189
elasticity,0.375,cpg,case_preparation_ms,9,0.11451956298616198,0.03424224735599097
elasticity,0.375,cpg,reported_shared_input_preparation_ms,9,52.72666861613592,15.420468358931977
elasticity,0.375,cpg,gpu_runtime_and_reconstruction_preparation_ms,9,7.397102812925975,0.2554687882199606
elasticity,0.375,cpg,first_sampled_call_ms,9,766.3644875089327,196.39633745026237
elasticity,0.375,cpg,graph_setup_ms,9,764.0016145176357,196.40741047760247
elasticity,0.375,cpg,first_full_original_after_sampled_ms,9,5.212948554091984,0.05144189226808779
elasticity,0.375,cpg,first_full_fast_after_sampled_ms,9,5.027563207679325,0.14291009175626393
elasticity,0.375,ca,adapter_increment_ms,9,0.16886327001783583,0.008189743898844214
elasticity,0.375,ca,case_preparation_ms,9,0.11226534843444824,0.012062264488049262
elasticity,0.375,ca,reported_shared_input_preparation_ms,9,41.462687154610954,3.1276384528433567
elasticity,0.375,ca,gpu_runtime_and_reconstruction_preparation_ms,9,3.6941087908214993,3.8810252587602
elasticity,0.375,ca,first_sampled_call_ms,9,35.794129802121056,3.6213846070179456
elasticity,0.375,ca,graph_setup_ms,9,34.02801106373469,3.5800805104881497
elasticity,0.375,ca,first_full_original_after_sampled_ms,9,4.621682895554437,0.1179747498620936
elasticity,0.375,ca,first_full_fast_after_sampled_ms,9,4.446304506725735,0.14414144563352627
elasticity,0.5,uniform,adapter_increment_ms,9,0.09497751792271932,0.008395120841801013
elasticity,0.5,uniform,case_preparation_ms,9,6.206577022870381,0.3346764468676806
elasticity,0.5,uniform,reported_shared_input_preparation_ms,9,47.5463792681694,3.263087892202755
elasticity,0.5,uniform,gpu_runtime_and_reconstruction_preparation_ms,9,0.179115268919203,0.005363657539499468
elasticity,0.5,uniform,first_sampled_call_ms,9,22.234506905078888,0.8161552769598082
elasticity,0.5,uniform,graph_setup_ms,9,24.390272796154022,0.8301007429075679
elasticity,0.5,uniform,first_full_original_after_sampled_ms,9,1.928988430235121,0.07864487569287111
elasticity,0.5,uniform,first_full_fast_after_sampled_ms,9,1.753667990366618,0.018091449959948203
elasticity,0.5,pi,adapter_increment_ms,9,0.02480049928029378,0.001109686382615824
elasticity,0.5,pi,case_preparation_ms,9,7.825767000516255,0.26689435821082913
elasticity,0.5,pi,reported_shared_input_preparation_ms,9,49.16519009404712,3.030164508726884
elasticity,0.5,pi,gpu_runtime_and_reconstruction_preparation_ms,9,0.17297681834962633,0.01004423386443581
elasticity,0.5,pi,first_sampled_call_ms,9,21.43465148078071,0.8275206144913365
elasticity,0.5,pi,graph_setup_ms,9,23.545096317927044,0.8538711661306095
elasticity,0.5,pi,first_full_original_after_sampled_ms,9,1.8586830960379706,0.04899683299960549
elasticity,0.5,pi,first_full_fast_after_sampled_ms,9,1.7877982722388372,0.018920798853500995
elasticity,0.5,cpg,adapter_increment_ms,9,0.6431639194488525,0.014974821835482495
elasticity,0.5,cpg,case_preparation_ms,9,0.08970499038696289,0.0038358932700091075
elasticity,0.5,cpg,reported_shared_input_preparation_ms,9,41.891745395130584,3.1259415048600534
elasticity,0.5,cpg,gpu_runtime_and_reconstruction_preparation_ms,9,3.4319269988271923,0.06391922485464319
elasticity,0.5,cpg,first_sampled_call_ms,9,44.3035364151001,1.1600127086256162
elasticity,0.5,cpg,graph_setup_ms,9,41.85224986738629,1.133768194169518
elasticity,0.5,cpg,first_full_original_after_sampled_ms,9,6.095204088422987,0.03466131854391581
elasticity,0.5,cpg,first_full_fast_after_sampled_ms,9,5.897544324398041,0.039709119073505106
elasticity,0.5,ca,adapter_increment_ms,9,0.16640292273627388,0.006746249539014628
elasticity,0.5,ca,case_preparation_ms,9,0.11065188381406996,0.0063430461258145955
