benchmark,budget,method,mode,cases,mean_ms,case_std_ms,repeat_std_ms,repeats_per_case_min,repeats_per_case_max,paired_ratio_to_uniform_mean,paired_ratio_to_uniform_std
elasticity,0.5,ca,sampled,9,1.5984680503606796,0.016764325248324864,0.03628571983377959,20,20,1.557159066418381,0.01250692869300347
elasticity,0.5,ca,original,9,5.343321296903822,0.054413641779857906,0.06632523273548921,5,5,4.872891473472926,0.030569368220118836
elasticity,0.5,ca,fast,9,5.343321296903822,0.054413641779857906,0.06632523273548921,5,5,4.872891473472926,0.030569368220118836
elasticity,0.75,uniform,sampled,9,1.1660970747470856,0.003399859408820108,0.02198343851690724,20,20,1.0,0.0
elasticity,0.75,uniform,original,9,1.2449254592259724,0.006335761450592704,0.029784487159646517,5,5,1.0,0.0
elasticity,0.75,uniform,fast,9,1.2449254592259724,0.006335761450592704,0.029784487159646517,5,5,1.0,0.0
elasticity,0.75,pi,sampled,9,1.1840521461433835,0.00439071814663097,0.013608843509556625,20,20,1.0153993477886973,0.003081696984850852
elasticity,0.75,pi,original,9,1.2601832548777263,0.007372992729897679,0.025159133668172493,5,5,1.0122540193930638,0.001997140408583841
elasticity,0.75,pi,fast,9,1.2601832548777263,0.007372992729897679,0.025159133668172493,5,5,1.0122540193930638,0.001997140408583841
elasticity,0.75,cpg,sampled,9,2.4009728597270117,0.03831415367396048,0.02964363994064104,20,20,2.058993408233082,0.033115106586723175
elasticity,0.75,cpg,original,9,7.876979808012645,0.04071877648455582,0.12657892344061894,5,5,6.327372317198353,0.038648939205897244
elasticity,0.75,cpg,fast,9,7.876979808012645,0.04071877648455582,0.12657892344061894,5,5,6.327372317198353,0.038648939205897244
elasticity,0.75,ca,sampled,9,1.7558251404099994,0.012457876941056467,0.009106636134177476,20,20,1.5057338609576507,0.010685430879082537
elasticity,0.75,ca,original,9,7.184749344984691,0.06143828711588999,0.09876590701284621,5,5,5.771256782699747,0.04418801186981798
elasticity,0.75,ca,fast,9,7.184749344984691,0.06143828711588999,0.09876590701284621,5,5,5.771256782699747,0.04418801186981798
elasticity,1.0,full,sampled,3,1.264435425400734,0.013037914124925757,0.018366077246861984,20,20,1.0,0.0
elasticity,1.0,full,original,3,1.264435425400734,0.013037914124925757,0.018366077246861984,20,20,1.0,0.0
